AMKA,first_name,last_name,date_of_birth,email,phone_number,hire_date,staff_type
37876553007,Alexandra,Nikolaidis,1995-12-05,alexandra.nikolaidis@ygeiopolis.gr,6909505560,2019-07-14,Nurse
88192778851,Christos,Lamprou,1976-04-30,christos.lamprou@ygeiopolis.gr,6905348640,2017-03-12,Nurse
62456185174,Anastasia,Athanasiou,1990-11-30,anastasia.athanasiou@ygeiopolis.gr,6960045212,2021-11-20,Nurse
45512939130,Andreas,Dimitriou,1991-12-17,andreas.dimitriou@ygeiopolis.gr,6948818984,2022-03-12,Nurse
46154021190,Pinelopi,Angelopoulos,1999-07-28,pinelopi.angelopoulos@ygeiopolis.gr,6970756814,2017-10-12,Nurse
52291073228,Evangelia,Georgiou,1993-08-29,evangelia.georgiou@ygeiopolis.gr,6960849378,2018-09-01,Nurse
84526969443,Eirini,Stamatiou,1976-09-18,eirini.stamatiou@ygeiopolis.gr,6916497016,2022-08-16,Nurse
91320330162,Elisavet,Oikonomidis,1994-07-31,elisavet.oikonomidis@ygeiopolis.gr,6941903106,2017-03-14,Nurse
56684732365,Andreas,Michailidis,1995-12-06,andreas.michailidis@ygeiopolis.gr,6937746040,2020-11-09,Nurse
78436142442,Xanthi,Archontopoulos,1985-03-31,xanthi.archontopoulos@ygeiopolis.gr,6907819754,2023-03-23,Nurse
64273720376,Georgia,Papageorgiou,1994-07-18,georgia.papageorgiou@ygeiopolis.gr,6988214584,2023-09-26,Nurse
60191344389,Olympia,Karamanlis,1978-08-06,olympia.karamanlis1@ygeiopolis.gr,6982780205,2024-08-13,Nurse
73214644936,Vasiliki,Papadopoulos,1974-04-26,vasiliki.papadopoulos@ygeiopolis.gr,6999951679,2018-03-14,Nurse
73857368011,Ilias,Tsakalidis,1979-01-05,ilias.tsakalidis1@ygeiopolis.gr,6923603768,2024-04-13,Nurse
23335104096,Kalliopi,Eleftheriadis,1998-12-20,kalliopi.eleftheriadis@ygeiopolis.gr,6949731539,2017-05-01,Nurse
07482073651,Kalliopi,Christodoulou,2000-05-20,kalliopi.christodoulou@ygeiopolis.gr,6989394065,2020-01-01,Nurse
90432230233,Maria,Dimitriou,1995-07-01,maria.dimitriou@ygeiopolis.gr,6924707392,2016-05-08,Nurse
62127602508,Paraskevi,Karamanlis,1996-07-05,paraskevi.karamanlis@ygeiopolis.gr,6961123126,2017-03-20,Nurse
88995729893,Georgia,Oikonomou,1984-03-21,georgia.oikonomou@ygeiopolis.gr,6962974549,2018-05-27,Nurse
64687191203,Maria,Stamatiou,1972-12-13,maria.stamatiou@ygeiopolis.gr,6981876920,2021-10-22,Nurse
08981388158,Anastasia,Christodoulou,1980-04-01,anastasia.christodoulou@ygeiopolis.gr,6914458220,2020-10-17,Nurse
18297168157,Olympia,Panagiotidis,1996-12-23,olympia.panagiotidis@ygeiopolis.gr,6945000000,2016-12-08,Nurse
11371785090,Stavroula,Diamantis,1972-02-07,stavroula.diamantis@ygeiopolis.gr,6925561844,2018-12-04,Nurse
87478122489,Foteini,Chronopoulos,2002-06-17,foteini.chronopoulos@ygeiopolis.gr,6956708670,2016-06-29,Nurse
65515848266,Ariadni,Christodoulou,1979-02-09,ariadni.christodoulou@ygeiopolis.gr,6913624835,2020-02-22,Nurse
60807063369,Dimitra,Chronopoulos,1976-10-23,dimitra.chronopoulos@ygeiopolis.gr,6987950982,2017-05-30,Nurse
64818804428,Aggeliki,Konstantinidis,1983-02-12,aggeliki.konstantinidis@ygeiopolis.gr,6973836381,2020-06-25,Nurse
94289464203,Anastasia,Petridis,1985-07-14,anastasia.petridis@ygeiopolis.gr,6925863144,2016-12-02,Nurse
25540263558,Aikaterini,Antoniou,1973-09-19,aikaterini.antoniou@ygeiopolis.gr,6924301764,2020-08-11,Nurse
