+----------------------------+-------+------------------------------------------------------------------+
| doctor_name                | level | hierarchy_path                                                   |
| Eleni Archontopoulou       |     4 | /Despina-Vandi/Nikos-Oikonomopoulos/Giorgos-Xatzipavlou/         |
| Miltiadis Tentoglou        |     2 | /Eleni-Foureira/                                                 |
| Vasilis Karras             |     2 | /Eleni-Foureira/                                                 |
| Margarita Vlachopoulou     |     3 | /Eleni-Foureira/Miltiadis-Tentoglou/                             |
| Sakis Tanimanidis          |     3 | /Eleni-Foureira/Miltiadis-Tentoglou/                             |
| Vasilis Kalligas           |     4 | /Eleni-Foureira/Miltiadis-Tentoglou/Sakis-Tanimanidis/           |
| Christos Spanos            |     3 | /Eleni-Foureira/Vasilis-Karras/                                  |
| Dimitris Makalias          |     3 | /Eleni-Foureira/Vasilis-Karras/                                  |
| Katerina Papoutsaki        |     3 | /Eleni-Foureira/Vasilis-Karras/                                  |
| Laskarina Bouboulina       |     3 | /Eleni-Foureira/Vasilis-Karras/                                  |
| Olympia Tsakalidi          |     3 | /Eleni-Foureira/Vasilis-Karras/                                  |
| Ariadni Lamprou            |     4 | /Eleni-Foureira/Vasilis-Karras/Dimitris-Makalias/                |
| Katerina Archontopoulou    |     4 | /Eleni-Foureira/Vasilis-Karras/Dimitris-Makalias/                |
| Pinelopi Nikolaidi         |     4 | /Eleni-Foureira/Vasilis-Karras/Dimitris-Makalias/                |
| Stavroula Kalliga          |     4 | /Eleni-Foureira/Vasilis-Karras/Dimitris-Makalias/                |
| Stefanos Ioannidis         |     4 | /Eleni-Foureira/Vasilis-Karras/Dimitris-Makalias/                |
| Elisavet Karagianni        |     4 | /Eleni-Foureira/Vasilis-Karras/Katerina-Papoutsaki/              |
| Pinelopi Antoniou          |     4 | /Eleni-Foureira/Vasilis-Karras/Katerina-Papoutsaki/              |
| Hippocrates Doctor         |     4 | /Eleni-Foureira/Vasilis-Karras/Laskarina-Bouboulina/             |
| Prokopis Pavlopoulos       |     4 | /Eleni-Foureira/Vasilis-Karras/Laskarina-Bouboulina/             |
| Giannis Ploutarchos        |     2 | /Giannis-Antetokounmpo/                                          |
| Theodoros Zagorakis        |     2 | /Giannis-Antetokounmpo/                                          |
| Kostas Simitis             |     3 | /Giannis-Antetokounmpo/Giannis-Ploutarchos/                      |
| Panagiotis Giannakis       |     3 | /Giannis-Antetokounmpo/Giannis-Ploutarchos/                      |
| Pericles Statesman         |     3 | /Giannis-Antetokounmpo/Giannis-Ploutarchos/                      |
| Sotiris Moustakas          |     3 | /Giannis-Antetokounmpo/Giannis-Ploutarchos/                      |
| Athina Kalliga             |     4 | /Giannis-Antetokounmpo/Giannis-Ploutarchos/Panagiotis-Giannakis/ |
| Eleftherios Papadopoulos   |     4 | /Giannis-Antetokounmpo/Giannis-Ploutarchos/Panagiotis-Giannakis/ |
| Georgia Spanou             |     4 | /Giannis-Antetokounmpo/Giannis-Ploutarchos/Panagiotis-Giannakis/ |
| Michalis Petridis          |     4 | /Giannis-Antetokounmpo/Giannis-Ploutarchos/Sotiris-Moustakas/    |
| Antonis Athanasiou         |     3 | /Giannis-Antetokounmpo/Theodoros-Zagorakis/                      |
| Emmanouil Chronopoulos     |     3 | /Giannis-Antetokounmpo/Theodoros-Zagorakis/                      |
| Ioannis Kapodistrias       |     3 | /Giannis-Antetokounmpo/Theodoros-Zagorakis/                      |
| Tatiana Stefanidou         |     3 | /Giannis-Antetokounmpo/Theodoros-Zagorakis/                      |
| Xanthi Papadimitriou       |     3 | /Giannis-Antetokounmpo/Theodoros-Zagorakis/                      |
| Maria Karagianni           |     4 | /Giannis-Antetokounmpo/Theodoros-Zagorakis/Ioannis-Kapodistrias/ |
| Xanthi Oikonomou           |     4 | /Giannis-Antetokounmpo/Theodoros-Zagorakis/Ioannis-Kapodistrias/ |
| Alexandros Lamprou         |     4 | /Giannis-Antetokounmpo/Theodoros-Zagorakis/Tatiana-Stefanidou/   |
| Sotiris Papageorgiou       |     4 | /Giannis-Antetokounmpo/Theodoros-Zagorakis/Tatiana-Stefanidou/   |
| Dimitris Mitropanos        |     2 | /Giorgos-Mazonakis/                                              |
| Pyrros Dimas               |     2 | /Giorgos-Mazonakis/                                              |
| Blandine Drakou            |     3 | /Giorgos-Mazonakis/Dimitris-Mitropanos/                          |
| Nikos Moutsinas            |     3 | /Giorgos-Mazonakis/Dimitris-Mitropanos/                          |
| Socrates Philosopher       |     3 | /Giorgos-Mazonakis/Dimitris-Mitropanos/                          |
| Athina Georgiou            |     4 | /Giorgos-Mazonakis/Dimitris-Mitropanos/Blandine-Drakou/          |
| Danai Chatzidaki           |     4 | /Giorgos-Mazonakis/Dimitris-Mitropanos/Blandine-Drakou/          |
| Danai Mavridi              |     4 | /Giorgos-Mazonakis/Dimitris-Mitropanos/Blandine-Drakou/          |
| Paraskevi Triantafyllou    |     4 | /Giorgos-Mazonakis/Dimitris-Mitropanos/Nikos-Moutsinas/          |
| Dimitris Koutsoumpas       |     3 | /Giorgos-Mazonakis/Pyrros-Dimas/                                 |
| Jenny Karezi               |     3 | /Giorgos-Mazonakis/Pyrros-Dimas/                                 |
| Danai Papadopoulou         |     4 | /Giorgos-Mazonakis/Pyrros-Dimas/Dimitris-Koutsoumpas/            |
| Georgia Makri              |     4 | /Giorgos-Mazonakis/Pyrros-Dimas/Dimitris-Koutsoumpas/            |
| Georgios Makris            |     4 | /Giorgos-Mazonakis/Pyrros-Dimas/Dimitris-Koutsoumpas/            |
| Maria Oikonomidi           |     4 | /Giorgos-Mazonakis/Pyrros-Dimas/Dimitris-Koutsoumpas/            |
| Theodoros Dimitriou        |     4 | /Giorgos-Mazonakis/Pyrros-Dimas/Dimitris-Koutsoumpas/            |
| Aristeidis Diamantis       |     4 | /Giorgos-Mazonakis/Pyrros-Dimas/Jenny-Karezi/                    |
| Elisavet Nikolaidi         |     4 | /Giorgos-Mazonakis/Pyrros-Dimas/Jenny-Karezi/                    |
| Ioannis Christodoulou      |     4 | /Giorgos-Mazonakis/Pyrros-Dimas/Jenny-Karezi/                    |
| Mikis Theodorakis          |     2 | /Helena-Paparizou/                                               |
| Stefanos Tsitsipas         |     2 | /Helena-Paparizou/                                               |
| Alexis Tsipras             |     3 | /Helena-Paparizou/Mikis-Theodorakis/                             |
| Dionysios Vlachopoulos     |     3 | /Helena-Paparizou/Mikis-Theodorakis/                             |
| Spyros Papadopoulos        |     3 | /Helena-Paparizou/Mikis-Theodorakis/                             |
| Anastasios Karagiannis     |     4 | /Helena-Paparizou/Mikis-Theodorakis/Alexis-Tsipras/              |
| Andreas Papageorgiou       |     4 | /Helena-Paparizou/Mikis-Theodorakis/Alexis-Tsipras/              |
| Dionysios Papageorgiou     |     4 | /Helena-Paparizou/Mikis-Theodorakis/Alexis-Tsipras/              |
| Theodora Karamanli         |     4 | /Helena-Paparizou/Mikis-Theodorakis/Alexis-Tsipras/              |
| Aggeliki Lazaridi          |     4 | /Helena-Paparizou/Mikis-Theodorakis/Spyros-Papadopoulos/         |
| Petros Papageorgiou        |     4 | /Helena-Paparizou/Mikis-Theodorakis/Spyros-Papadopoulos/         |
| Dionysis Atzarakis         |     3 | /Helena-Paparizou/Stefanos-Tsitsipas/                            |
| Kostis Hatzidakis          |     3 | /Helena-Paparizou/Stefanos-Tsitsipas/                            |
| Lambros Konstantaras       |     3 | /Helena-Paparizou/Stefanos-Tsitsipas/                            |
| Nikoletta Nikolaidi        |     3 | /Helena-Paparizou/Stefanos-Tsitsipas/                            |
| Stefanos Stamatiou         |     3 | /Helena-Paparizou/Stefanos-Tsitsipas/                            |
| Theodora Sidiropoulou      |     3 | /Helena-Paparizou/Stefanos-Tsitsipas/                            |
| Aristeidis Petridis        |     4 | /Helena-Paparizou/Stefanos-Tsitsipas/Dionysis-Atzarakis/         |
| Georgios Mavridis          |     4 | /Helena-Paparizou/Stefanos-Tsitsipas/Lambros-Konstantaras/       |
| Maria Callas               |     2 | /Katerina-Stikoudi/                                              |
| Vassilis Spanoulis         |     2 | /Katerina-Stikoudi/                                              |
| Eleftherios Tsakalidis     |     3 | /Katerina-Stikoudi/Maria-Callas/                                 |
| Giannis Bezos              |     3 | /Katerina-Stikoudi/Maria-Callas/                                 |
| Thanasis Veggos            |     3 | /Katerina-Stikoudi/Maria-Callas/                                 |
| Antonis Petridis           |     4 | /Katerina-Stikoudi/Maria-Callas/Giannis-Bezos/                   |
| Dimitra Tsoukala           |     4 | /Katerina-Stikoudi/Maria-Callas/Giannis-Bezos/                   |
| Eleni Christodoulou        |     4 | /Katerina-Stikoudi/Maria-Callas/Giannis-Bezos/                   |
| Elisavet Lazaridi          |     4 | /Katerina-Stikoudi/Maria-Callas/Giannis-Bezos/                   |
| Konstantinos Tsoukalas     |     4 | /Katerina-Stikoudi/Maria-Callas/Giannis-Bezos/                   |
| Pinelopi Vasileiou         |     4 | /Katerina-Stikoudi/Maria-Callas/Giannis-Bezos/                   |
| Adonis Georgiadis          |     3 | /Katerina-Stikoudi/Vassilis-Spanoulis/                           |
| Anastasios Chronopoulos    |     3 | /Katerina-Stikoudi/Vassilis-Spanoulis/                           |
| Despoina Papadopoulou      |     3 | /Katerina-Stikoudi/Vassilis-Spanoulis/                           |
| Ilias Archontopoulos       |     3 | /Katerina-Stikoudi/Vassilis-Spanoulis/                           |
| Kyriakos Mitsotakis        |     3 | /Katerina-Stikoudi/Vassilis-Spanoulis/                           |
| Markos Seferlis            |     3 | /Katerina-Stikoudi/Vassilis-Spanoulis/                           |
| Fotios Georgiou            |     4 | /Katerina-Stikoudi/Vassilis-Spanoulis/Kyriakos-Mitsotakis/       |
| Petros Konstantinidis      |     4 | /Katerina-Stikoudi/Vassilis-Spanoulis/Kyriakos-Mitsotakis/       |
| Lefteris Petrounias        |     2 | /Konstantinos-Argiros/                                           |
| Stelios Kazantzidis        |     2 | /Konstantinos-Argiros/                                           |
| Aliki Vougiouklaki         |     3 | /Konstantinos-Argiros/Lefteris-Petrounias/                       |
| Georgios Oikonomidis       |     3 | /Konstantinos-Argiros/Lefteris-Petrounias/                       |
| Manto Mavrogenous          |     3 | /Konstantinos-Argiros/Lefteris-Petrounias/                       |
| Panagiotis Karamanlis      |     3 | /Konstantinos-Argiros/Lefteris-Petrounias/                       |
| Petros Panagiotidis        |     3 | /Konstantinos-Argiros/Lefteris-Petrounias/                       |
| Vasiliki Antoniou          |     3 | /Konstantinos-Argiros/Lefteris-Petrounias/                       |
| Zeta Makripoulia           |     3 | /Konstantinos-Argiros/Lefteris-Petrounias/                       |
| Antonis Papanikolaou       |     4 | /Konstantinos-Argiros/Lefteris-Petrounias/Aliki-Vougiouklaki/    |
| Filippos Diamantis         |     4 | /Konstantinos-Argiros/Lefteris-Petrounias/Zeta-Makripoulia/      |
| Giannis Alexiou            |     4 | /Konstantinos-Argiros/Lefteris-Petrounias/Zeta-Makripoulia/      |
| Ioannis Alexiou            |     4 | /Konstantinos-Argiros/Lefteris-Petrounias/Zeta-Makripoulia/      |
| Katerina Sakellaropoulou   |     4 | /Konstantinos-Argiros/Lefteris-Petrounias/Zeta-Makripoulia/      |
| Pythagoras Mathematician   |     4 | /Konstantinos-Argiros/Lefteris-Petrounias/Zeta-Makripoulia/      |
| Ariadni Papadimitriou      |     3 | /Konstantinos-Argiros/Stelios-Kazantzidis/                       |
| Evangelia Papadopoulou     |     3 | /Konstantinos-Argiros/Stelios-Kazantzidis/                       |
| Foteini Vlachopoulou       |     3 | /Konstantinos-Argiros/Stelios-Kazantzidis/                       |
| Katerina Vrioni            |     3 | /Konstantinos-Argiros/Stelios-Kazantzidis/                       |
| Peggy Zina                 |     2 | /Michalis-Alexiou/                                               |
| Vangelis Papathanassiou    |     2 | /Michalis-Alexiou/                                               |
| Aristotle Philosopher      |     3 | /Michalis-Alexiou/Peggy-Zina/                                    |
| Babis Bates                |     3 | /Michalis-Alexiou/Peggy-Zina/                                    |
| Margarita Michailidi       |     3 | /Michalis-Alexiou/Peggy-Zina/                                    |
| Nikos Chatzinikolaou       |     3 | /Michalis-Alexiou/Peggy-Zina/                                    |
| Petros Papadopoulos        |     3 | /Michalis-Alexiou/Peggy-Zina/                                    |
| Vasiliki Nikolaidi         |     3 | /Michalis-Alexiou/Peggy-Zina/                                    |
| Pinelopi Diamanti          |     4 | /Michalis-Alexiou/Peggy-Zina/Babis-Bates/                        |
| Christina Sidiropoulou     |     4 | /Michalis-Alexiou/Peggy-Zina/Nikos-Chatzinikolaou/               |
| Dora Bakoyannis            |     3 | /Michalis-Alexiou/Vangelis-Papathanassiou/                       |
| Giannis Dimitriou          |     3 | /Michalis-Alexiou/Vangelis-Papathanassiou/                       |
| Stathis Psaltis            |     3 | /Michalis-Alexiou/Vangelis-Papathanassiou/                       |
| Theodoros Oikonomidis      |     3 | /Michalis-Alexiou/Vangelis-Papathanassiou/                       |
| Voula Patoulidou           |     3 | /Michalis-Alexiou/Vangelis-Papathanassiou/                       |
| Danai Dimitriou            |     4 | /Michalis-Alexiou/Vangelis-Papathanassiou/Stathis-Psaltis/       |
| Georgia Michailidi         |     4 | /Michalis-Alexiou/Vangelis-Papathanassiou/Stathis-Psaltis/       |
| Eleftherios Athanasiou     |     4 | /Michalis-Alexiou/Vangelis-Papathanassiou/Voula-Patoulidou/      |
| Pavlos Georgiou            |     4 | /Michalis-Alexiou/Vangelis-Papathanassiou/Voula-Patoulidou/      |
| Eleni Vitali               |     2 | /Natasa-Theodorou/                                               |
| Sofia Bekatorou            |     2 | /Natasa-Theodorou/                                               |
| Ira Katsouda               |     3 | /Natasa-Theodorou/Eleni-Vitali/                                  |
| Katerina Vasileiou         |     3 | /Natasa-Theodorou/Eleni-Vitali/                                  |
| Nikos Kourkoulos           |     3 | /Natasa-Theodorou/Eleni-Vitali/                                  |
| Plato Philosopher          |     3 | /Natasa-Theodorou/Eleni-Vitali/                                  |
| Fotios Vlachopoulos        |     4 | /Natasa-Theodorou/Eleni-Vitali/Ira-Katsouda/                     |
| Nikos Oikonomidis          |     4 | /Natasa-Theodorou/Eleni-Vitali/Ira-Katsouda/                     |
| Pavlos Dimitriou           |     4 | /Natasa-Theodorou/Eleni-Vitali/Ira-Katsouda/                     |
| Pavlos Triantafyllou       |     4 | /Natasa-Theodorou/Eleni-Vitali/Ira-Katsouda/                     |
| Pinelopi Georgiou          |     4 | /Natasa-Theodorou/Eleni-Vitali/Ira-Katsouda/                     |
| Alexandra Bakogianni       |     4 | /Natasa-Theodorou/Eleni-Vitali/Nikos-Kourkoulos/                 |
| Nikoletta Antoniou         |     4 | /Natasa-Theodorou/Eleni-Vitali/Nikos-Kourkoulos/                 |
| Pavlos Stamatiou           |     4 | /Natasa-Theodorou/Eleni-Vitali/Nikos-Kourkoulos/                 |
| Sotiris Triantafyllou      |     4 | /Natasa-Theodorou/Eleni-Vitali/Nikos-Kourkoulos/                 |
| Eirini Vlachopoulou        |     3 | /Natasa-Theodorou/Sofia-Bekatorou/                               |
| Giorgos Kapoutzidis        |     3 | /Natasa-Theodorou/Sofia-Bekatorou/                               |
| Theodora Alexiou           |     3 | /Natasa-Theodorou/Sofia-Bekatorou/                               |
| Zoi Konstantopoulou        |     3 | /Natasa-Theodorou/Sofia-Bekatorou/                               |
| Katerina Stefanidi         |     2 | /Nikos-Vertis/                                                   |
| Marinella Marinella        |     2 | /Nikos-Vertis/                                                   |
| Alexandros Tsouvelas       |     3 | /Nikos-Vertis/Katerina-Stefanidi/                                |
| Danai Oikonomidi           |     3 | /Nikos-Vertis/Katerina-Stefanidi/                                |
| Emmanouil Petridis         |     3 | /Nikos-Vertis/Katerina-Stefanidi/                                |
| Smaragda Karydi            |     3 | /Nikos-Vertis/Katerina-Stefanidi/                                |
| Christina Papadopoulou     |     4 | /Nikos-Vertis/Katerina-Stefanidi/Alexandros-Tsouvelas/           |
| Nikos Makris               |     4 | /Nikos-Vertis/Katerina-Stefanidi/Alexandros-Tsouvelas/           |
| Stavroula Spanou           |     4 | /Nikos-Vertis/Katerina-Stefanidi/Alexandros-Tsouvelas/           |
| Nikoletta Vasileiou        |     4 | /Nikos-Vertis/Katerina-Stefanidi/Smaragda-Karydi/                |
| Andreas Papandreou         |     3 | /Nikos-Vertis/Marinella-Marinella/                               |
| Dimitris Horn              |     3 | /Nikos-Vertis/Marinella-Marinella/                               |
| Eirini Oikonomidi          |     3 | /Nikos-Vertis/Marinella-Marinella/                               |
| Eleftherios Georgiou       |     3 | /Nikos-Vertis/Marinella-Marinella/                               |
| Karolos Papoulias          |     3 | /Nikos-Vertis/Marinella-Marinella/                               |
| Archimedes Inventor        |     4 | /Nikos-Vertis/Marinella-Marinella/Andreas-Papandreou/            |
| Anastasia Ioannidi         |     4 | /Nikos-Vertis/Marinella-Marinella/Dimitris-Horn/                 |
| Markos Oikonomidis         |     4 | /Nikos-Vertis/Marinella-Marinella/Dimitris-Horn/                 |
| Sotiris Papadopoulos       |     4 | /Nikos-Vertis/Marinella-Marinella/Dimitris-Horn/                 |
| Manos Hatzidakis           |     2 | /Notis-Sfakianakis/                                              |
| Maria Sakkari              |     2 | /Notis-Sfakianakis/                                              |
| Ioanna Diamanti            |     3 | /Notis-Sfakianakis/Manos-Hatzidakis/                             |
| Margarita Christodoulou    |     3 | /Notis-Sfakianakis/Manos-Hatzidakis/                             |
| Nikos Androulakis          |     3 | /Notis-Sfakianakis/Manos-Hatzidakis/                             |
| Thomas Zabras              |     3 | /Notis-Sfakianakis/Manos-Hatzidakis/                             |
| Fotios Papageorgiou        |     4 | /Notis-Sfakianakis/Manos-Hatzidakis/Nikos-Androulakis/           |
| Markos Chatzidakis         |     4 | /Notis-Sfakianakis/Manos-Hatzidakis/Nikos-Androulakis/           |
| Niki Kerameus              |     4 | /Notis-Sfakianakis/Manos-Hatzidakis/Thomas-Zabras/               |
| Dionysis Papagiannopoulos  |     3 | /Notis-Sfakianakis/Maria-Sakkari/                                |
| Grigoris Angelopoulos      |     3 | /Notis-Sfakianakis/Maria-Sakkari/                                |
| Katerina Kainourgiou       |     3 | /Notis-Sfakianakis/Maria-Sakkari/                                |
| Panagiotis Mavridis        |     3 | /Notis-Sfakianakis/Maria-Sakkari/                                |
| Maria Georgiou             |     4 | /Notis-Sfakianakis/Maria-Sakkari/Dionysis-Papagiannopoulos/      |
| Anastasia Chronopoulou     |     4 | /Notis-Sfakianakis/Maria-Sakkari/Katerina-Kainourgiou/           |
| Giannis Nikolaidis         |     4 | /Notis-Sfakianakis/Maria-Sakkari/Katerina-Kainourgiou/           |
| Pavlos Kalligas            |     4 | /Notis-Sfakianakis/Maria-Sakkari/Katerina-Kainourgiou/           |
| Theodora Eleftheriadi      |     4 | /Notis-Sfakianakis/Maria-Sakkari/Katerina-Kainourgiou/           |
| Theodora Kalliga           |     4 | /Notis-Sfakianakis/Maria-Sakkari/Katerina-Kainourgiou/           |
| Anna Korakaki              |     2 | /Pantelis-Pantelidis/                                            |
| Haris Alexiou              |     2 | /Pantelis-Pantelidis/                                            |
| Aristeidis Konstantinidis  |     3 | /Pantelis-Pantelidis/Anna-Korakaki/                              |
| Emmanouil Chronopoulos     |     3 | /Pantelis-Pantelidis/Anna-Korakaki/                              |
| Konstantinos Christodoulou |     3 | /Pantelis-Pantelidis/Anna-Korakaki/                              |
| Konstantinos Karamanlis    |     3 | /Pantelis-Pantelidis/Anna-Korakaki/                              |
| Lakis Lazopoulos           |     3 | /Pantelis-Pantelidis/Anna-Korakaki/                              |
| Theodora Papadopoulou      |     3 | /Pantelis-Pantelidis/Anna-Korakaki/                              |
| Evangelos Kalligas         |     4 | /Pantelis-Pantelidis/Anna-Korakaki/Konstantinos-Karamanlis/      |
| Nikos Dendias              |     4 | /Pantelis-Pantelidis/Anna-Korakaki/Konstantinos-Karamanlis/      |
| Stefanos Kalligas          |     4 | /Pantelis-Pantelidis/Anna-Korakaki/Konstantinos-Karamanlis/      |
| Vasiliki Christodoulou     |     4 | /Pantelis-Pantelidis/Anna-Korakaki/Konstantinos-Karamanlis/      |
| Xanthi Alexiou             |     4 | /Pantelis-Pantelidis/Anna-Korakaki/Konstantinos-Karamanlis/      |
| Xanthi Papanikolaou        |     4 | /Pantelis-Pantelidis/Anna-Korakaki/Konstantinos-Karamanlis/      |
| Alexandra Vlachopoulou     |     4 | /Pantelis-Pantelidis/Anna-Korakaki/Lakis-Lazopoulos/             |
| Markos Kalligas            |     4 | /Pantelis-Pantelidis/Anna-Korakaki/Lakis-Lazopoulos/             |
| Cleopatra Queen            |     3 | /Pantelis-Pantelidis/Haris-Alexiou/                              |
| Rena Vlachopoulou          |     3 | /Pantelis-Pantelidis/Haris-Alexiou/                              |
| Thodoris Atheridis         |     3 | /Pantelis-Pantelidis/Haris-Alexiou/                              |
| Nikos Galis                |     2 | /Sakis-Rouvas/                                                   |
| Panos Kiamos               |     2 | /Sakis-Rouvas/                                                   |
| Eleftherios Venizelos      |     3 | /Sakis-Rouvas/Nikos-Galis/                                       |
| Faii Skorda                |     3 | /Sakis-Rouvas/Nikos-Galis/                                       |
| Melina Mercouri            |     3 | /Sakis-Rouvas/Nikos-Galis/                                       |
| Otto Rehhagel              |     3 | /Sakis-Rouvas/Nikos-Galis/                                       |
| Charalampos Karamanlis     |     4 | /Sakis-Rouvas/Nikos-Galis/Eleftherios-Venizelos/                 |
| Olympia Eleftheriadi       |     4 | /Sakis-Rouvas/Nikos-Galis/Eleftherios-Venizelos/                 |
| Alexander TheGreat         |     4 | /Sakis-Rouvas/Nikos-Galis/Faii-Skorda/                           |
